treeID,Z,TreeSpecies,coords.x1,coords.x2,DBH,Biomass
337,18.63,2,294812.625,6808788.125,41.82019546,683.5144047
338,21.02,2,295112.125,6808788.125,59.58748503,1291.570221
339,6.27,2,294029.625,6808787.875,8.987801077,15.44111298
340,18.17,2,295040.125,6808787.875,39.31503218,604.0489974
341,21.53,1,295088.375,6808787.875,35.46539767,630.1613388
342,18.12,2,295194.375,6808787.875,39.05561098,595.9718945
343,16.7,2,294715.625,6808787.625,32.57120425,405.5346931
344,19.19,2,294723.875,6808787.625,45.1912056,794.0438775
345,20.21,2,294742.125,6808787.625,52.45721999,1041.921374
346,19.01,3,294784.375,6808787.625,154.939217,2565.779183
347,18.86,3,294794.375,6808787.625,140.5537711,2405.952489
348,10.34,2,294896.375,6808787.625,15.41084755,64.24623096
349,19.25,2,295103.625,6808787.625,45.5757173,806.8718349
350,23.35,1,295130.875,6808787.625,42.54900201,927.9876668
351,19.78,3,294788.625,6808787.375,314.7701935,3575.958273
352,7.46,2,294863.125,6808787.375,10.68948643,24.32676842
353,10.72,2,294899.125,6808787.375,16.12253768,72.36010285
354,18.83,2,294975.625,6808787.375,42.98090464,721.1505036
355,15.33,2,294982.625,6808787.375,27.58480864,278.0178135
356,19.6,2,295006.125,6808787.375,47.91837137,885.8363171
357,15.47,2,295025.875,6808787.375,28.04880368,289.0484606
358,24.56,1,295051.125,6808787.375,48.40679485,1200.146491
359,2.07,1,293729.625,6808787.125,2.814111735,2.492365116
360,4.24,1,294326.875,6808787.125,5.624910074,7.939498038
361,5.69,2,294758.125,6808787.125,8.190395983,12.15778807
362,18.02,2,294825.125,6808787.125,38.54390792,580.1302601
363,10.82,2,294910.625,6808787.125,16.31409122,74.64045732
364,21,1,295078.875,6808787.125,33.70350004,562.8567129
365,18.99,2,295185.625,6808787.125,43.94333271,752.7046203
366,5.17,2,293997.875,6808786.875,7.486805797,9.688099453
367,12.71,3,294596.125,6808786.875,23.16247555,182.8972871
368,16.81,2,294610.375,6808786.875,33.019602,417.8966651
369,19.52,2,294647.125,6808786.875,47.36736215,867.1468383
370,13.52,3,294684.625,6808786.875,26.96509787,256.0831179
371,17.96,2,294828.125,6808786.875,38.24136506,570.8217213
372,7.56,2,294878.625,6808786.875,10.83757989,25.22859714
373,11.13,2,294933.375,6808786.875,16.91980004,82.12091936
374,8.62,2,294959.875,6808786.875,12.46816947,36.60630669
375,17.99,2,295012.125,6808786.875,38.39222173,575.4577809
376,21.26,2,295161.375,6808786.875,61.99612049,1376.267333
377,17.97,2,295175.875,6808786.875,38.29155888,572.3630454
